mode,make,model,colour,offence,district,disposal,date,location
Cyclist,Honda,JAZZ,BLUE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-10-01T00:00:00Z,"A650 SIR FRED HOYLE WAY, BINGLEY"
Cyclist,Citroen,DS3,WHITE,RT88576 Drive without reasonable consideration to others,BD,Educational Course,2023-10-01T00:00:00Z,"DALTON BANK ROAD, HUDDERSFIELD"
Vehicle driver,Audi,S3,BLACK,RT88760 Fail to comply with solid white lines,LD,Educational Course,2023-10-01T00:00:00Z,"A1 North Wetherby, Leeds"
Pedestrian,ZNEN,ZN 50,GREEN AND RED,RT88575 Drive without due care and attention,BD,Conditional Offer,2023-10-01T00:00:00Z,"A1 BARNSDALE BAR, WAKEFIELD"
Vehicle driver,Volkswagen,GOLF,BLACK,N/A,BD,NFA,2023-10-01T00:00:00Z,"A1 Exit Slip onto M62 Eastbound, Wakefield"
Vehicle driver,Mercedes -Benz,GLA 220,GREY,RT88966 Motor vehicle fail to comply with endorsable S36 traffic sign,CD,Educational Course,2023-10-01T00:00:00Z,A1 North
Horse rider,Volkswagen,TOUAREG,GREY,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,A1 Northbound
Cyclist,BMW,120D,SILVER,RV86019 Use a handheld phone / device whilst driving a motor vehicle on a road,CD,Conditional Offer,2023-10-01T00:00:00Z,"A1 SOUTHBOUND, DARRINGTON"
Vehicle passenger,Audi,A4,BLACK,N/A,unknown,NFA,2023-10-01T00:00:00Z,"A1 Wentworth, Pontefract"
Cyclist,Land Rover,RANGE ROVER,BLACK,RT88576 Drive without reasonable consideration to others,LD,Educational Course,2023-10-01T00:00:00Z,"A1(M) South between J45 & J44, Leeds"
Vehicle driver,Peugeot,Partner,White,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-10-01T00:00:00Z,"A1, Darrington"
Vehicle driver,Volkswagen,Golf,Red,N/A,BD,NFA,2023-10-01T00:00:00Z,"A120 Leeds Ring Road, Moortown, Leeds"
Vehicle driver,Vauxhall,Corsa,Red,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,BD,Educational Course,2023-10-01T00:00:00Z,"A1M Aberford, Leeds"
Vehicle driver,Unknown,Unknown,Black,N/A,WD,NFA,2023-10-01T00:00:00Z,"A1M junction 43 Hook Moor, Leeds"
Vehicle driver,Hyundai,Tucson,White,RT88975 Drive motor vehicle fail to comply with red / green arrow / lane closure traffic light signals,LD,Educational Course,2023-10-01T00:00:00Z,"A1M south, junction 41"
Vehicle driver,Volkswagen,GOLF,BLACK,RT88575 Drive without due care and attention,LD,Court,2023-10-01T00:00:00Z,"A1M Southbound J44 - J43, Leeds"
Vehicle driver,BMW,120D,SILVER,RT88575 Drive without due care and attention,LD,Conditional Offer,2023-10-01T00:00:00Z,"A1M, Darrington"
Vehicle driver,Peugeot,E7,Black & White,N/A,LD,NFA,2023-10-01T00:00:00Z,"A58  WHITEHALL ROAD, DRIGHLINGTON, LEEDS"
Vehicle driver,Volkswagen,Golf,Blue,RT88575 Drive without due care and attention,LD,Conditional Offer,2023-10-01T00:00:00Z,"A58 / A6120 Roundabout, Leeds"
